ESCIVIL,RMENSAL,0DEP,1DEP,2DEP,3DEP,4DEP,5+DEP
1,659.00,0.00,0.00,0.00,0.00,0.00,0.00
1,686.00,0.10,0.00,0.00,0.00,0.00,0.00
1,718.00,4.20,0.80,0.00,0.00,0.00,0.00
1,739.00,7.30,2.80,0.20,0.00,0.00,0.00
1,814.00,8.20,4.60,1.10,0.00,0.00,0.00
1,922.00,10.40,6.90,3.60,0.00,0.00,0.00
1,1005.00,11.60,8.20,5.80,1.50,0.00,0.00
1,1065.00,12.40,9.10,6.70,3.40,0.00,0.00
1,1143.00,13.50,11.00,8.60,5.20,2.80,0.30
1,1225.00,14.50,12.10,9.60,6.20,3.70,1.30
1,1321.00,15.60,13.20,10.80,7.20,4.70,2.30
1,1424.00,16.60,14.20,11.70,8.30,6.70,4.10
1,1562.00,17.70,15.20,12.70,10.30,7.80,5.10
1,1711.00,19.10,16.70,15.20,11.70,9.20,6.70
1,1870.00,20.50,18.70,17.80,14.90,12.90,12.00
1,1977.00,21.50,19.90,18.70,15.90,14.90,12.90
1,2090.00,22.50,20.80,19.80,16.80,15.90,13.90
1,2218.00,23.50,21.90,20.90,18.00,16.90,14.90
1,2367.00,24.50,22.90,21.90,19.00,18.10,15.90
1,2535.00,25.50,24.90,22.90,21.00,19.00,18.10
1,2767.00,26.50,25.80,24.00,22.00,20.00,19.00
1,3104.00,27.80,27.10,25.20,23.20,21.20,20.20
1,3534.00,29.40,29.10,27.50,25.90,25.30,23.70
1,4118.00,30.50,30.30,28.50,26.90,26.30,25.70
1,4650.00,32.30,31.80,30.20,28.40,27.80,27.20
1,5194.00,33.30,32.80,32.20,29.70,28.80,28.20
1,5880.00,34.30,33.80,33.20,30.60,30.00,29.20
1,6727.00,36.30,35.90,35.10,33.20,32.80,32.40
1,7939.00,37.30,36.90,36.50,35.20,33.80,33.40
1,9560.00,39.30,38.90,38.50,37.20,36.80,35.40
1,11282.00,40.30,39.90,39.50,38.60,37.80,36.40
1,18854.00,41.30,40.90,40.50,39.60,39.20,37.40
1,20221.00,42.30,41.90,41.50,40.60,40.20,38.40
1,22749.00,43.10,42.90,42.50,41.60,41.20,39.60
1,25276.00,44.10,43.90,43.50,42.60,42.20,40.80
1,25276.00,45.10,44.90,44.50,43.60,43.20,41.80
2,659.00,0.02,0.02,0.02,0.02,0.02,0.00
2,686.00,0.12,0.02,0.02,0.02,0.02,0.00
2,708.00,2.42,0.02,0.02,0.02,0.02,0.00
2,754.00,3.42,0.02,0.02,0.02,0.02,0.00
2,794.00,4.82,1.02,0.02,0.02,0.02,0.00
2,836.00,5.72,1.92,1.02,0.02,0.02,0.00
2,886.00,6.62,3.82,1.32,0.02,0.02,0.00
2,974.00,7.42,4.72,3.02,0.02,0.02,0.00
2,1081.00,8.32,5.62,3.82,1.12,0.02,0.00
2,1225.00,9.42,7.02,4.82,2.12,0.22,0.00
2,1404.00,10.92,9.12,7.22,4.42,2.72,1.80
2,1629.00,11.92,10.22,8.32,6.42,4.62,2.80
2,1733.00,13.42,11.62,10.82,7.92,6.02,5.20
2,1849.00,14.32,12.72,11.92,9.22,7.42,6.60
2,1998.00,15.32,13.62,12.82,10.22,9.42,7.60
2,2157.00,16.32,14.62,13.82,11.12,10.42,8.70
2,2347.00,17.32,16.62,14.92,12.12,11.32,9.70
2,2566.00,18.22,17.62,15.92,14.12,12.32,11.60
2,2934.00,19.32,18.62,16.92,15.12,13.42,12.60
2,3356.00,21.92,21.82,20.22,18.82,17.42,17.00
2,3611.00,22.92,22.82,21.42,19.82,19.42,18.00
2,3882.00,23.92,23.82,22.42,21.02,20.42,19.00
2,4210.00,24.92,24.82,23.42,22.02,21.62,21.00
2,4604.00,26.42,25.82,24.42,23.02,22.62,22.20
2,5076.00,27.42,26.82,26.42,24.02,23.62,23.20
2,5654.00,28.42,27.82,27.42,25.02,24.62,24.20
2,6381.00,29.42,28.82,28.42,26.02,25.62,25.20
2,7323.00,30.32,30.22,29.82,27.62,27.42,27.20
2,8441.00,31.32,31.22,31.02,29.62,28.42,28.20
2,9336.00,32.82,32.72,32.52,31.32,29.92,29.70
2,10448.00,33.82,33.72,33.52,32.32,32.12,30.60
2,14013.00,35.12,35.12,34.52,33.32,33.12,31.90
2,20118.00,37.12,37.12,36.92,35.82,35.62,34.40
2,22749.00,38.12,38.12,37.92,37.22,36.62,35.40
2,25276.00,39.12,39.12,38.92,38.22,38.02,36.40
2,28309.00,40.12,40.12,39.92,39.22,39.02,37.80
2,28309.00,41.12,41.12,40.92,40.22,40.02,38.80
3,659.00,0.03,0.03,0.03,0.03,0.03,0.00
3,686.00,0.13,0.03,0.03,0.03,0.03,0.00
3,718.00,4.23,1.33,0.93,0.43,0.03,0.00
3,739.00,7.33,4.43,2.63,0.73,0.03,0.00
3,814.00,8.23,5.33,3.53,2.63,0.73,0.00
3,922.00,10.43,7.63,6.73,3.93,3.23,1.30
3,1005.00,11.63,8.93,8.13,5.33,4.53,3.20
3,1065.00,12.43,9.83,8.93,6.23,4.93,4.00
3,1143.00,13.53,11.73,10.93,8.23,7.33,5.50
3,1225.00,14.53,12.83,11.83,9.23,8.33,6.50
3,1321.00,15.63,14.83,13.03,11.03,9.33,8.40
3,1424.00,16.63,15.83,14.03,12.23,10.33,9.50
3,1562.00,17.73,16.93,15.03,13.23,11.43,10.50
3,1711.00,19.13,18.33,16.63,14.73,13.83,12.00
3,1870.00,20.53,19.93,18.23,16.53,15.73,13.90
3,1977.00,21.53,21.03,19.13,17.43,16.63,14.90
3,2090.00,22.53,22.03,20.23,18.33,17.63,16.80
3,2218.00,23.53,23.03,21.33,19.53,18.53,17.90
3,2367.00,24.53,24.13,23.33,20.53,19.73,18.80
3,2535.00,25.53,25.13,24.33,21.63,20.83,20.00
3,2767.00,26.53,26.03,25.33,22.63,21.83,21.00
3,3104.00,27.83,27.33,26.53,23.83,23.03,22.20
3,3534.00,29.43,29.33,28.93,26.53,26.13,25.70
3,4118.00,30.53,30.53,29.93,28.53,27.13,26.70
3,4650.00,32.33,32.03,31.63,29.93,28.63,28.20
3,5194.00,33.33,33.03,32.63,31.23,30.53,29.20
3,5880.00,34.33,34.03,33.63,32.23,31.83,30.10
3,6727.00,36.33,36.13,35.53,34.83,34.63,34.40
3,7939.00,37.33,37.13,36.93,35.83,35.63,35.40
3,9560.00,39.33,39.13,38.93,37.83,37.63,37.40
3,11282.00,40.33,40.13,39.93,39.23,38.63,38.40
3,18854.00,41.33,41.13,40.93,40.23,40.03,39.40
3,20221.00,42.33,42.13,41.93,41.23,41.03,40.40
3,22749.00,43.13,43.13,42.93,42.23,42.03,41.60
3,25276.00,44.13,44.13,43.93,43.23,43.03,42.80
3,25276.00,45.13,45.13,44.93,44.23,44.03,43.80
